goos: windows
goarch: amd64
pkg: github.com/manuelpepe/gol/gol
cpu: AMD Ryzen 5 3600X 6-Core Processor
BenchmarkNextGrid/window-(H:10-W:10)-12                   360753              3316 ns/op             112 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:10-W:10)-12                   357699              3295 ns/op             112 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:10-W:10)-12                   368973              3386 ns/op             112 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    12432             92921 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13104             91304 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13171             90447 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13050             90075 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13281             89568 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13196             90924 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13261             90936 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13362             90122 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13405             89955 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:50-W:50)-12                    13080             90063 ns/op            2688 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3152            375604 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3159            373498 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   2995            384039 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3153            373747 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3237            376771 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3153            378741 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3192            381612 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3160            380384 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3153            379323 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:100-W:100)-12                   3188            370894 ns/op           10240 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          41555730 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          41290515 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          41253467 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   28          41327811 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          42113167 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          42095989 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   28          41552164 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          41243774 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   28          41999389 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:1000-W:1000)-12                   27          42164137 ns/op         1007616 B/op          1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4562985700 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4489265600 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4461133700 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4423976100 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4566153300 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4446376400 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4443067300 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4432923800 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4405528200 ns/op        100007936 B/op         1 allocs/op
BenchmarkNextGrid/window-(H:10000-W:10000)-12                  1        4456735200 ns/op        100007936 B/op         1 allocs/op
PASS
ok      github.com/manuelpepe/gol/gol   179.575s
